event name:EBI,event capacity:497,event date:1405,event time: 13,event location:bandarabbas
event name:daryoosh,event capacity:399,event date:1404,event time: 12,event location:bnd
event name:arash,event capacity:100,event date:1404,event time: 12,event location:bnd
event name:reza,event capacity:1000,event date:1404,event time: 16,event location:bnd
event name:dd,event capacity:12,event date:1404,event time: 12,event location:tehran
event name:erfanhalghe,event capacity:12000,event date:1404,event time: 15,event location:iran
event name:leila,event capacity:1200,event date:1404,event time: 1,event location:bnd
event name:& C,event capacity:12,event date:12,event time: 12,event location:12
event name:googoosh,event capacity:100,event date:1404,event time: 12,event location:bnd
event name:cinema,event capacity:100,event date:1404,event time: 14,event location:bandar
event name:kharchang,event capacity:100,event date:1404,event time: 12,event location:bandar
event name:tiatr,event capacity:100,event date:1404,event time: 8,event location:bnd
event name:nila,event capacity:100,event date:1404,event time:14,event location:bandar
event name:javad,event capacity:100,event date:1404,event time:12,event location:rajaee
event name:boom,event capacity:100,event date:1404,event time:14,event location:bnd
event name:qoran,event capacity:100,event date:1404,event time:01:00,event location:qom
